	date	avg_score	weighted_score
0	2021-01-01	12.660625000000001	14.447561365632597
1	2021-01-02	34.144375	37.36074426575883
2	2021-01-03	48.853125000000006	53.12812410926898
3	2021-01-04	32.544375	35.3520640529181
4	2021-01-05	24.341250000000002	26.472194096729503
5	2021-01-06	31.816249999999997	34.71599609383397
6	2021-01-07	58.884375	63.62665246532974
7	2021-01-08	58.94437500000001	62.44944904659309
8	2021-01-09	36.351875	39.13361573628995
9	2021-01-10	31.160624999999996	33.62346348154828
10	2021-01-11	65.67375000000001	67.92064613135169
11	2021-01-12	39.82625000000001	41.67662743304756
12	2021-01-13	25.799999999999997	27.945378277948496
13	2021-01-14	30.215625	31.995984745784163
14	2021-01-15	23.234375	25.082771768842722
15	2021-01-16	15.5325	17.391227730265985
16	2021-01-17	14.79	16.718107854253162
17	2021-01-18	11.290625	12.3048843153591
18	2021-01-19	12.32625	13.434520887891857
19	2021-01-20	12.131875	13.05700601008145
20	2021-01-21	18.426250000000003	19.69841900748598
21	2021-01-22	21.32	22.421436993021054
22	2021-01-23	12.326250000000002	13.696282354808158
23	2021-01-24	9.975625	11.275810097098969
24	2021-01-25	9.671249999999999	10.50821334972346
25	2021-01-26	9.154375	9.882914102792279
26	2021-01-27	13.42625	13.678183904242557
27	2021-01-28	15.494999999999997	15.457387264758882
28	2021-01-29	45.701874999999994	44.90449712441965
29	2021-01-30	17.226875	17.692025788409417
30	2021-01-31	10.718125	11.303329157192046
31	2021-02-01	13.25	13.81308118652035
32	2021-02-02	12.716875000000002	13.527512483898828
33	2021-02-03	13.501875	14.466496879501252
34	2021-02-04	14.200625000000002	15.301978150920098
35	2021-02-05	10.555000000000001	11.494578435118795
36	2021-02-06	18.304999999999996	20.004892052274975
37	2021-02-07	13.698124999999997	14.95107633531811
38	2021-02-08	50.626875	51.55763511874428
39	2021-02-09	65.42875	67.02528630826286
40	2021-02-10	35.38625	37.99311377516172
41	2021-02-11	29.355625000000007	31.986946765375915
42	2021-02-12	26.359375	27.80486815000749
43	2021-02-13	18.039375	19.78241546660948
44	2021-02-14	25.83625	28.548080007988716
45	2021-02-15	21.609374999999996	23.78624354862939
46	2021-02-16	28.567500000000003	30.327034377135284
47	2021-02-17	37.994375	41.352061360535245
48	2021-02-18	28.9075	31.175634034667134
49	2021-02-19	37.6575	40.19690127245797
50	2021-02-20	39.150625	42.21734792796452
51	2021-02-21	32.129999999999995	34.64096050758295
52	2021-02-22	41.0575	42.71936450429756
53	2021-02-23	64.485	67.06224339239259
54	2021-02-24	37.985625	39.36858929456007
55	2021-02-25	26.289375	27.971726054466465
56	2021-02-26	27.756874999999997	29.746854916061405
57	2021-02-27	18.119375	19.938531768213842
58	2021-02-28	20.807500000000005	22.25419273407917
59	2021-03-01	34.184374999999996	35.560682775763205
60	2021-03-02	27.015624999999996	28.096265215433004
61	2021-03-03	25.815	27.334877473857052
62	2021-03-04	22.859999999999996	23.823167810745137
63	2021-03-05	25.558749999999996	26.899324650398636
64	2021-03-06	15.579374999999999	16.969650606824036
65	2021-03-07	18.528125	19.682450849580675
66	2021-03-08	20.27125	20.748762066438236
67	2021-03-09	30.129375	31.2326521936349
68	2021-03-10	31.165	33.17129775064433
69	2021-03-11	24.238750000000003	26.229146401634004
70	2021-03-12	23.946875	26.203536062883845
71	2021-03-13	39.511250000000004	43.368297478089694
72	2021-03-14	37.375625	39.46640212285545
73	2021-03-15	26.914375	27.8730662273366
74	2021-03-16	24.2375	25.248926863114814
75	2021-03-17	24.153125	25.327176040445686
76	2021-03-18	25.593750000000004	26.8575347795802
77	2021-03-19	20.596249999999998	21.906392703200286
78	2021-03-20	15.010000000000002	15.813422434992527
79	2021-03-21	15.465625000000001	17.29302199585899
80	2021-03-22	19.263125	20.980162110435113
81	2021-03-23	20.72	21.757625679436693
82	2021-03-24	23.135625	24.30599718085898
83	2021-03-25	25.674374999999994	26.823874222239745
84	2021-03-26	17.805	18.7711402302798
85	2021-03-27	14.905624999999999	16.177422465945103
86	2021-03-28	13.660625	14.265780974654877
87	2021-03-29	17.405	18.33633201526945
88	2021-03-30	20.910000000000004	22.767491493875752
89	2021-03-31	19.2	20.38373633833721
90	2021-04-01	17.863125	19.025583289637385
91	2021-04-02	15.476249999999999	16.754877035362213
92	2021-04-03	13.721874999999999	14.563585431015248
93	2021-04-04	14.29625	15.773265299078657
94	2021-04-05	16.110000000000003	17.30707083116389
95	2021-04-06	14.676250000000001	15.585419516115424
96	2021-04-07	14.358124999999998	15.467653456917638
97	2021-04-08	12.34	13.25788532487984
98	2021-04-09	11.461875	12.388510630797548
99	2021-04-10	14.951249999999998	16.709883755878995
100	2021-04-11	12.684375	14.080491081051902
101	2021-04-12	13.688749999999999	14.772030886986617
102	2021-04-13	27.805625	29.680267733646204
103	2021-04-14	34.396875	35.76111631450127
104	2021-04-15	24.708750000000006	25.792784147416807
105	2021-04-16	27.885	28.551785791711026
106	2021-04-17	18.800625	19.41075796473052
107	2021-04-18	42.76062499999999	43.785733461221525
108	2021-04-19	34.864999999999995	35.30600805970703
109	2021-04-20	31.615625000000005	31.829977596230272
110	2021-04-21	22.570625000000003	23.00579414423925
111	2021-04-22	25.641875	25.857321728819322
112	2021-04-23	50.900000000000006	52.81830490056669
113	2021-04-24	25.090000000000003	27.351931750305567
114	2021-04-25	21.259374999999995	23.09386565992183
115	2021-04-26	28.3225	30.241994523850494
116	2021-04-27	21.959375	22.72594524808552
117	2021-04-28	17.19625	18.444769186513476
118	2021-04-29	15.558749999999998	16.493796543555252
