date,open,high,low,close,Volume BTC,Volume USD
2021-08-31 23:00:00,47102.74,47365.57,47000.05,47156.09,52.28101511,2465368.2538185194
2021-08-31 22:00:00,46942.58,47127.13,46771.13,47100.38,199.4953972,9396309.016370935
2021-08-31 21:00:00,47020.1,47213.49,46845.05,46950.0,138.09251446,6483443.553897
2021-08-31 20:00:00,47306.81,47345.65,46926.4,47003.1,81.36320723,3824322.965752413
2021-08-31 19:00:00,47326.7,47422.72,47205.86,47321.52,95.04373328,4497613.925284185
2021-08-31 18:00:00,47124.63,47404.9,47014.76,47341.63,57.13057498,2704654.5423904173
2021-08-31 17:00:00,47393.62,47460.85,47009.4,47119.28,58.98594131,2779375.0846494567
2021-08-31 16:00:00,47405.35,47582.06,47282.66,47389.77,98.50382138,4668073.439319283
2021-08-31 15:00:00,47300.8,47480.05,47182.85,47423.55,117.87996408,5590286.370546084
2021-08-31 14:00:00,47884.53,48270.33,47200.34,47306.77,167.11128464,7905495.106869013
2021-08-31 13:00:00,47882.26,48000.0,47659.5,47889.76,77.25470499,3699709.2808419024
2021-08-31 12:00:00,48000.0,48181.19,47740.03,47816.77,128.67592683,6152867.197766939
2021-08-31 11:00:00,47455.96,48100.0,47329.52,47972.67,99.42975909,4769911.021004071
2021-08-31 10:00:00,47406.92,47712.9,47151.75,47424.28,85.69167854,4063866.156750951
2021-08-31 09:00:00,47742.16,47802.33,47346.13,47400.09,63.24895043,2998005.9427875383
2021-08-31 08:00:00,47800.06,47984.88,47655.41,47755.79,45.89271717,2191642.963699914
2021-08-31 07:00:00,47007.4,47913.97,46834.34,47801.11,104.73411401,5006406.904544551
2021-08-31 06:00:00,47152.43,47268.21,46953.94,47010.3,80.23422036,3771834.769389708
2021-08-31 05:00:00,47054.13,47224.44,47020.0,47183.28,85.30997382,4025204.3815417294
2021-08-31 04:00:00,47147.21,47322.39,47030.0,47080.57,111.1931138,5235035.177778866
2021-08-31 03:00:00,47043.29,47228.69,47017.65,47150.38,75.92391237,3579841.3193322
2021-08-31 02:00:00,46883.05,47073.85,46767.59,47025.52,35.99953624,1692896.911444845
2021-08-31 01:00:00,46837.17,47020.38,46750.0,46917.19,43.73158894,2051763.2672998789
2021-08-31 00:00:00,46969.05,47150.1,46699.0,46864.6,135.96005294,6371713.497011923
2021-08-30 23:00:00,47626.61,47626.61,46855.41,47003.44,194.43972476,9139335.936373174
2021-08-30 22:00:00,48409.29,48487.25,47550.0,47631.57,174.78094458,8325090.796428391
2021-08-30 21:00:00,48656.8,48691.71,48200.0,48420.89,80.71367424,3908227.941870874
2021-08-30 20:00:00,48650.0,48733.72,48566.09,48656.8,19.88544974,967562.350909232
2021-08-30 19:00:00,48567.91,48650.0,48376.93,48650.0,37.2318396,1811328.99654
2021-08-30 18:00:00,48364.02,48550.24,48175.56,48535.38,53.41133473,2592339.4274277478
2021-08-30 17:00:00,48207.12,48361.05,48093.09,48361.05,28.69456133,1387699.1152081965
2021-08-30 16:00:00,48066.01,48217.82,47986.96,48205.42,52.2746008,2519919.086896336
2021-08-30 15:00:00,47718.27,48128.83,47697.4,48061.18,55.3559701,2660473.243050718
2021-08-30 14:00:00,47786.04,47946.87,47632.9,47743.96,46.0753205,2199818.25893918
2021-08-30 13:00:00,47598.01,47794.82,47364.83,47794.82,57.73550678,2759458.1541588795
2021-08-30 12:00:00,47950.0,47958.54,47531.6,47572.79,66.70711134,3173443.3992844387
2021-08-30 11:00:00,48047.7,48049.97,47667.0,47943.97,47.03068045,2254837.5325743863
2021-08-30 10:00:00,47938.09,48078.25,47832.31,48047.7,38.13296044,1832201.043332988
2021-08-30 09:00:00,48113.21,48140.02,47922.51,47948.37,44.66804034,2141759.725397246
