Hour,neg,neu,pos,compound
2021-02-05 10:00:00,0.0,0.9136363636363637,0.08636363636363636,0.23214545454545457
2021-02-05 11:00:00,0.04142045454545455,0.8913409090909089,0.06724999999999999,0.08592727272727274
2021-02-05 12:00:00,0.021755395683453235,0.8835179856115108,0.09471942446043162,0.19253237410071944
2021-02-05 13:00:00,0.027908396946564884,0.8998015267175572,0.07229007633587783,0.1141167938931298
2021-02-05 14:00:00,0.022693750000000002,0.908675,0.06862500000000002,0.13720125
2021-02-05 15:00:00,0.043724832214765114,0.8965167785234899,0.059738255033557036,0.04576778523489934
2021-02-05 16:00:00,0.03197350993377484,0.886072847682119,0.08195364238410595,0.13677748344370863
2021-02-05 17:00:00,0.02670056497175141,0.8938248587570621,0.07947457627118647,0.1380084745762712
2021-02-05 18:00:00,0.03577611940298507,0.8754104477611939,0.08879850746268657,0.1470985074626865
2021-02-05 19:00:00,0.0245187969924812,0.8942556390977442,0.0812406015037594,0.16969248120300753
2021-02-05 20:00:00,0.03649122807017544,0.8936929824561405,0.0697982456140351,0.08355175438596496
2021-02-05 21:00:00,0.040096000000000014,0.8841439999999995,0.075784,0.10216960000000001
2021-02-05 22:00:00,0.02466019417475728,0.9026310679611648,0.07270873786407768,0.1333485436893204
2021-02-05 23:00:00,0.033341772151898735,0.8872278481012658,0.07941772151898735,0.11266835443037973
2021-02-06 00:00:00,0.02200813008130081,0.8969024390243895,0.08108130081300816,0.184039837398374
2021-02-06 01:00:00,0.03159027777777778,0.8902152777777776,0.07820138888888893,0.1257659722222223
2021-02-06 02:00:00,0.026959183673469393,0.8916428571428568,0.08137755102040817,0.13787755102040816
2021-02-06 03:00:00,0.014831578947368421,0.9107894736842103,0.07437894736842104,0.1725778947368421
2021-02-06 04:00:00,0.03291566265060242,0.8717469879518073,0.09532530120481929,0.18343975903614462
2021-02-06 05:00:00,0.03158904109589041,0.8972328767123287,0.07116438356164383,0.11705753424657533
2021-02-06 06:00:00,0.045123711340206187,0.8811443298969069,0.07370103092783505,0.1061360824742268
2021-02-06 07:00:00,0.025070588235294115,0.8696000000000003,0.10530588235294118,0.20069058823529415
2021-02-06 08:00:00,0.023692771084337354,0.8980421686746985,0.07828915662650604,0.15757771084337352
2021-02-06 09:00:00,0.03167889908256881,0.8867155963302751,0.08157798165137616,0.1258605504587156
2021-02-06 10:00:00,0.02858860759493671,0.8843987341772152,0.08701898734177214,0.14122784810126582
2021-02-06 11:00:00,0.02991237113402062,0.8937474226804121,0.07632989690721652,0.1145520618556701
2021-02-06 12:00:00,0.022024390243902438,0.920570731707317,0.05738536585365856,0.09067853658536584
2021-02-06 13:00:00,0.02688461538461539,0.9040164835164833,0.06910439560439564,0.10478571428571429
2021-02-06 14:00:00,0.027948863636363643,0.8934602272727272,0.07857954545454547,0.13405170454545454
2021-02-06 15:00:00,0.029632978723404268,0.8840319148936167,0.08634042553191493,0.14918882978723405
2021-02-06 16:00:00,0.03045890410958904,0.8996232876712331,0.0699041095890411,0.11978082191780821
2021-02-06 17:00:00,0.03524260355029587,0.8846863905325444,0.08001183431952667,0.13372189349112423
2021-02-06 18:00:00,0.027013513513513512,0.8838783783783783,0.08909459459459455,0.16568445945945956
2021-02-06 19:00:00,0.030656565656565663,0.8969292929292932,0.07239393939393941,0.11290000000000001
2021-02-06 20:00:00,0.032018691588785037,0.8995607476635511,0.0684392523364486,0.11948504672897196
2021-02-06 21:00:00,0.0196,0.937476923076923,0.04292820512820513,0.06156615384615385
2021-02-06 22:00:00,0.02852755905511811,0.8912204724409453,0.08024409448818896,0.13772047244094496
2021-02-06 23:00:00,0.030945945945945942,0.8989459459459458,0.07012612612612612,0.11229009009009008
2021-02-07 00:00:00,0.01719767441860465,0.8989127906976734,0.083889534883721,0.19688895348837204
2021-02-07 01:00:00,0.024226804123711337,0.8801752577319586,0.09558762886597941,0.1871494845360825
2021-02-07 02:00:00,0.03217894736842105,0.9006736842105263,0.06713684210526313,0.09897368421052631
2021-02-07 03:00:00,0.04114285714285715,0.8607619047619044,0.09804761904761901,0.16761547619047626
2021-02-07 04:00:00,0.027999999999999997,0.9036060606060605,0.06842424242424242,0.1215
2021-02-07 05:00:00,0.026029411764705884,0.9067647058823528,0.0672156862745098,0.11096470588235295
2021-02-07 06:00:00,0.044844660194174754,0.8795242718446601,0.07557281553398058,0.10922621359223302
2021-02-07 07:00:00,0.02742307692307692,0.8845897435897436,0.08798717948717952,0.17259487179487182
2021-02-07 08:00:00,0.015013793103448279,0.9094827586206893,0.07550344827586208,0.16432689655172408
2021-02-07 09:00:00,0.08544334975369447,0.8083300492610835,0.10622660098522164,0.025856157635468023
2021-02-07 10:00:00,0.017343434343434345,0.8985252525252528,0.08413131313131314,0.18892525252525255
2021-02-07 11:00:00,0.01611904761904762,0.9330079365079366,0.050865079365079356,0.11044841269841273
2021-02-07 12:00:00,0.024170542635658914,0.9149379844961242,0.06089922480620154,0.11388139534883722
2021-02-07 13:00:00,0.021032558139534883,0.9072511627906978,0.07171627906976741,0.12330558139534882
2021-02-07 14:00:00,0.024318840579710146,0.8958478260869565,0.07984057971014492,0.1496753623188406
2021-02-07 15:00:00,0.025979274611398966,0.890569948186529,0.08345595854922282,0.14939740932642487
2021-02-07 16:00:00,0.031911290322580645,0.9002338709677417,0.06785483870967739,0.10703790322580649
2021-02-07 17:00:00,0.025826923076923077,0.9099102564102564,0.06425641025641027,0.10412756410256413
2021-02-07 18:00:00,0.019465116279069765,0.8948527131782948,0.08568217054263565,0.18932248062015505
