unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1630389600,2021-08-31 06:00:00,BTC/USD,47152.43,47268.21,46953.94,47010.30,80.23422036,3771834.769389708
1630386000,2021-08-31 05:00:00,BTC/USD,47054.13,47224.44,47020.00,47183.28,85.30997382,4025204.3815417294
1630382400,2021-08-31 04:00:00,BTC/USD,47147.21,47322.39,47030.00,47080.57,111.19311380,5235035.177778866
1630378800,2021-08-31 03:00:00,BTC/USD,47043.29,47228.69,47017.65,47150.38,75.92391237,3579841.3193322
1630375200,2021-08-31 02:00:00,BTC/USD,46883.05,47073.85,46767.59,47025.52,35.99953624,1692896.9114448447
1630371600,2021-08-31 01:00:00,BTC/USD,46837.17,47020.38,46750.00,46917.19,43.73158894,2051763.2672998789
1630368000,2021-08-31 00:00:00,BTC/USD,46969.05,47150.10,46699.00,46864.60,135.96005294,6371713.497011923
1630364400,2021-08-30 23:00:00,BTC/USD,47626.61,47626.61,46855.41,47003.44,194.43972476,9139335.936373174
1630360800,2021-08-30 22:00:00,BTC/USD,48409.29,48487.25,47550.00,47631.57,174.78094458,8325090.796428391
1630357200,2021-08-30 21:00:00,BTC/USD,48656.80,48691.71,48200.00,48420.89,80.71367424,3908227.941870874
1630353600,2021-08-30 20:00:00,BTC/USD,48650.00,48733.72,48566.09,48656.80,19.88544974,967562.3509092319
1630350000,2021-08-30 19:00:00,BTC/USD,48567.91,48650.00,48376.93,48650.00,37.23183960,1811328.99654
1630346400,2021-08-30 18:00:00,BTC/USD,48364.02,48550.24,48175.56,48535.38,53.41133473,2592339.4274277473
1630342800,2021-08-30 17:00:00,BTC/USD,48207.12,48361.05,48093.09,48361.05,28.69456133,1387699.1152081965
1630339200,2021-08-30 16:00:00,BTC/USD,48066.01,48217.82,47986.96,48205.42,52.27460080,2519919.086896336
1630335600,2021-08-30 15:00:00,BTC/USD,47718.27,48128.83,47697.40,48061.18,55.35597010,2660473.243050718
